timestamp,test-class,test-method,time,description,result
2021-11-26 14:03:15.374,acme.testing.anonymous.duty.AnonymousDutyShowTest,list,2352,"[1] recordIndex=0, title=Create a Causes functionality, startPeriod=2021/09/01 18:00, endPeriod=2022/05/05 18:30, workload=96.30, description=As a client, we can create a cause that contains a name and description (string), a budget target (numeric), and an acti-ve non profit organization (string) that will use the budget for the cause., link=http://www.spring.com",Expected value '2022/05/05 18:30' in input box 'endPeriod', but '2022/09/05 18:30' was found
2021-11-26 14:03:16.092,acme.testing.anonymous.duty.AnonymousDutyShowTest,showNegative,436,"[1] id=600",OK
2021-11-26 14:03:16.635,acme.testing.anonymous.duty.AnonymousDutyShowTest,showNegative,277,"[2] id=5000",OK
2021-11-26 14:03:28.438,acme.testing.anonymous.duty.AnonymousDutyListTest,list,2989,"[1] recordIndex=0, title=Create a Causes functionality, startPeriod=2021/09/01 18:00, endPeriod=2022/09/05 18:30, workload=96.30, description=As a client, we can create a cause that contains a name and description (string), a budget target (numeric), and an acti-ve non profit organization (string) that will use the budget for the cause., link=http://www.spring.com",OK
2021-11-26 14:03:31.549,acme.testing.anonymous.duty.AnonymousDutyListTest,list,2867,"[2] recordIndex=1, title=Release the app, startPeriod=2021/08/01 14:00, endPeriod=2022/10/30 14:00, workload=20.00, description=Prepare a release for the last aplication, link=null",OK
2021-11-26 14:03:34.76,acme.testing.anonymous.duty.AnonymousDutyListTest,list,2979,"[3] recordIndex=2, title=Do somenthing, startPeriod=2021/09/04 08:00, endPeriod=2022/11/15 12:00, workload=15.50, description=Get a new project to do, link=null",OK
2021-11-26 14:03:37.972,acme.testing.anonymous.duty.AnonymousDutyListTest,list,2993,"[4] recordIndex=3, title=Do somenthing, startPeriod=2021/09/04 08:00, endPeriod=2022/11/15 12:00, workload=15.50, description=Get a new project to do, link=null",OK
2021-11-26 14:03:41.127,acme.testing.anonymous.duty.AnonymousDutyListTest,list,2929,"[5] recordIndex=4, title=Repair the web, startPeriod=2021/08/25 14:00, endPeriod=2022/09/01 19:00, workload=15.00, description=the website is down it need to be repair, link=null",OK
2021-11-26 14:03:44.311,acme.testing.anonymous.duty.AnonymousDutyListTest,list,2954,"[6] recordIndex=5, title=Repair the web, startPeriod=2021/08/25 14:00, endPeriod=2022/09/01 19:00, workload=15.00, description=the website is down it need to be repair, link=null",OK
2021-11-26 14:03:47.572,acme.testing.anonymous.duty.AnonymousDutyListTest,list,3030,"[7] recordIndex=6, title=Repair the web, startPeriod=2021/08/25 14:00, endPeriod=2022/09/01 19:00, workload=15.00, description=the website is down it need to be repair, link=null",OK
2021-11-26 14:03:50.746,acme.testing.anonymous.duty.AnonymousDutyListTest,list,2939,"[8] recordIndex=7, title=Lookout for the server, startPeriod=2021/09/10 08:00, endPeriod=2022/09/20 20:00, workload=12.50, description=it's hot you need to be careful and mantain the server, link=null",OK
2021-11-26 14:03:53.986,acme.testing.anonymous.duty.AnonymousDutyListTest,list,3013,"[9] recordIndex=8, title=Lookout for the server, startPeriod=2021/09/10 08:00, endPeriod=2022/09/01 20:00, workload=12.50, description=it's hot you need to be careful and mantain the server, link=null",OK
2021-11-26 14:03:57.154,acme.testing.anonymous.duty.AnonymousDutyListTest,list,2942,"[10] recordIndex=9, title=Lookout for the server, startPeriod=2021/09/10 08:00, endPeriod=2022/09/20 20:00, workload=12.50, description=it's hot you need to be careful and mantain the server, link=null",OK
2021-11-26 14:04:00.335,acme.testing.anonymous.duty.AnonymousDutyListTest,list,2968,"[11] recordIndex=10, title=Create Documents, startPeriod=2021/09/04 08:00, endPeriod=2022/09/15 19:00, workload=12.00, description=Redactate the documents, link=null",OK
2021-11-26 14:04:03.525,acme.testing.anonymous.duty.AnonymousDutyListTest,list,2957,"[12] recordIndex=11, title=Do intesting duty, startPeriod=2021/08/04 08:00, endPeriod=2022/08/15 19:00, workload=10.00, description=Do something interesting, link=null",OK
